name,username_type,acount_age,number_of_edits,total_posts,talking_type,status,rights,partition,editors,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering_coifficient,UID,only_edits
Sean.hoyland,registered,13.84169687870996,5,1,0,0,1,6,Sean.hoyland,0.0007729380740201,0.0005434188705638,0.2647344161727712,0.0,1.0,U55,4.0
Ezzex,registered,123.93792366258948,45616,22,2,1,1,1,Ezzex,0.0017732108756933,0.0016328305094363,0.2854355679549597,4.5677666507180015e-06,0.5290148448043185,U56,45594.0
Valodnieks,registered,107.72628421147898,1200,2,2,1,1,6,Valodnieks,0.0002728016731835,0.0001071125224086,0.2473980894252111,2.8276882977545255e-07,0.7333333333333333,U57,1198.0
Denny,registered,123.94268838131136,24169,777,0,1,10,0,Denny,0.0432845321451304,0.0421750168176993,0.3635967821242219,0.0009615419963437,0.3435591902376092,U58,23392.0
StevenJ81,registered,81.61073578969224,4471,240,0,0,1,6,StevenJ81,0.0431481313085386,0.0449325318539318,0.3609137777193698,0.0003253257883428,0.4182128200682041,U59,4231.0
Elbasyouny,registered,51.43321978624552,90,1,1,0,1,0,Elbasyouny,0.0001364008365917,1.3449018659069511e-05,0.2247929265788426,0.0,1.0,U60,89.0
François Robere,registered,112.35375507748655,18,2,2,1,1,0,François Robere,0.0001364008365917,1.3449018659069511e-05,0.2247929265788426,0.0,1.0,U61,16.0
Even zohar,registered,81.12427207798775,295,1,0,1,1,0,Even zohar,0.0001364008365917,1.3449018659069511e-05,0.2247929265788426,0.0,1.0,U62,294.0
Bender235,registered,123.66543308745408,227092,87,1,1,1,0,Bender235,0.0069564426661816,0.0073882342625511,0.3237870600723722,0.0002167702275565,0.6488648090815273,U63,227005.0
Remember,registered,100.23843367382248,49,12,1,0,1,2,Remember,0.0006365372374283,0.0007416361793759,0.2699843626840345,3.0894391883044226e-07,0.6373626373626373,U64,37.0
Morten Haan,registered,90.61506586567675,3959,80,0,0,1,2,Morten Haan,0.022460671092116,0.0263998924060523,0.3413830709199071,6.643548213274039e-05,0.6188583488679571,U65,3879.0
Te750iv,registered,28.406314145928924,109689,57,1,0,1,0,Te750iv,0.0052286987360189,0.0052726221260319,0.3117851944930894,7.571117170032573e-05,0.8132723112128146,U66,109632.0
Restu20,registered,36.77186047625892,6630,132,0,0,1,2,Restu20,0.0079112485223242,0.0077659784029969,0.304048391252918,0.000170551502702,0.5040196664673443,U68,6498.0
ArnoLagrange,registered,3.305053796070039,1202,18,1,0,1,2,ArnoLagrange,0.0010002728016731,0.0013064863546425,0.272204191514018,4.3113121002970464e-08,0.8571428571428571,U69,1184.0
Peter in s,registered,123.44986207793453,4219,60,1,1,1,1,Peter in s,0.0031826861871419,0.0024914496862745,0.2958959248656003,6.726747861270837e-06,0.7180124223602484,U70,4159.0
Make,registered,23.17069709393987,1685,91,0,0,1,2,Make,0.0037737564790397,0.0043035508227479,0.2928844656007039,1.0095705814954369e-05,0.6602997355274758,U71,1594.0
NBS,registered,117.1282861538719,12611,361,1,1,10,5,NBS,0.0283259070655633,0.023896646051467,0.3491554528224608,0.0001544783198097,0.4017434568755064,U72,12250.0
Paperoastro,registered,122.08860133260018,38218,1172,0,1,2,2,Paperoastro,0.0422842593434573,0.045572121357996,0.3601918845372781,0.0005533851977079,0.4142389203328819,U73,37046.0
ONaNcle,registered,14.57328236263122,4,2,1,0,1,2,ONaNcle,4.546694553059925e-05,0.0001049356795262,0.2517155180142018,0.0,0.0,U74,2.0
Lavallen,registered,42.57602863546517,37586,1590,0,0,1,2,Lavallen,0.0518323179048831,0.0401749924623525,0.3616165641548229,0.0012971675583263,0.2496372626033917,U75,35996.0
Matthew Beta,registered,36.080029782344,5645,50,1,0,1,2,Matthew Beta,0.010320996635446,0.0142455542586633,0.3302926749131993,1.5517891704941783e-05,0.7740049120891973,U76,5595.0
Mathmitch7,registered,112.35547919837126,791,6,1,1,1,1,Mathmitch7,0.0006820041829589,0.0009190230527163,0.2817612160181254,1.2531740886438945e-07,0.780952380952381,U77,785.0
PiRSquared17,registered,95.46638192433794,5489,236,0,0,1,2,PiRSquared17,0.0237792125125034,0.0270012197677921,0.3454613304870529,0.0002610634187674,0.5531013970388929,U78,5253.0
Klinglton358,registered,4.669914508853707,127,5,0,0,1,2,Klinglton358,0.0005001364008365,0.0005536992179717,0.2652721099472495,9.315611239980544e-07,0.7272727272727273,U79,122.0
Kolja21,registered,123.6190628296421,196849,3574,0,1,10,2,Kolja21,0.0684277530235518,0.0366167613539867,0.3740205687785684,0.0058502558990562,0.1196172333356895,U80,193275.0
Kolja21,registered,123.6190628296421,196849,3574,0,1,2,2,Kolja21,0.0684277530235518,0.0366167613539867,0.3740205687785684,0.0058502558990562,0.1196172333356895,U80,193275.0
Giftzwerg 88,registered,121.26974620362574,76153,582,0,1,12,2,Giftzwerg 88,0.0262344275711557,0.0223213777170861,0.3518116098060139,0.0007046478128431,0.3114830059695744,U82,75571.0
Gyurika,registered,112.5185055895132,1900,8,1,1,1,2,Gyurika,0.0001364008365917,0.0002109295381715,0.2570395470074302,0.0,1.0,U83,1892.0
Daranz,registered,109.59930502793806,322,6,1,1,1,2,Daranz,0.0001818677821223,0.0002646779816814,0.2500894624626834,3.383894641853464e-07,0.5,U84,316.0
Sapphorain,registered,118.50982528350649,9954,217,0,1,1,1,Sapphorain,0.0081385832499772,0.00779223799081,0.3257125682125669,0.0002117519564927,0.4663235201807796,U85,9737.0
Nikkimaria,registered,117.46382730499448,9458,184,0,1,1,1,Nikkimaria,0.0086841865963444,0.0090080884927815,0.32198010495155,7.670860299616386e-05,0.6882887847891981,U86,9274.0
Jura1,registered,98.02566483607164,16027116,23472,0,1,2,1,Jura1,0.1828680549240701,0.0666249580422619,0.4138030643435891,0.0299207444689282,0.04474655745056,U87,16003644.0
LtPowers,registered,121.19270682415716,261,17,1,1,1,1,LtPowers,0.0008184050195507,0.0011566212213194,0.2852916854075027,1.3396359615664645e-07,0.7712418300653595,U88,244.0
Multichill,registered,122.0062968058512,723910,4198,0,1,8,1,Multichill,0.0997090115486041,0.0565381659690626,0.3856343807292851,0.0070385879974426,0.1102005052572718,U89,719712.0
Multichill,registered,122.0062968058512,723910,4198,0,1,3,1,Multichill,0.0997090115486041,0.0565381659690626,0.3856343807292851,0.0070385879974426,0.1102005052572718,U89,719712.0
Multichill,registered,122.0062968058512,723910,4198,0,1,12,1,Multichill,0.0997090115486041,0.0565381659690626,0.3856343807292851,0.0070385879974426,0.1102005052572718,U89,719712.0
ArthurPSmith,registered,123.67365327297767,1706396,7135,0,1,9,1,ArthurPSmith,0.1207602073292716,0.0575835609453753,0.3922266389702517,0.0134119507784715,0.0777528191863499,U90,1699261.0
ArthurPSmith,registered,123.67365327297767,1706396,7135,0,1,10,1,ArthurPSmith,0.1207602073292716,0.0575835609453753,0.3922266389702517,0.0134119507784715,0.0777528191863499,U90,1699261.0
ArthurPSmith,registered,123.67365327297767,1706396,7135,0,1,2,1,ArthurPSmith,0.1207602073292716,0.0575835609453753,0.3922266389702517,0.0134119507784715,0.0777528191863499,U90,1699261.0
Harry Canyon,registered,60.43171013474305,169883,72,1,0,1,1,Harry Canyon,0.0022278803309993,0.0028712399691986,0.2993992395918222,1.0913199572605089e-05,0.6164965986394558,U92,169811.0
Ita140188,registered,120.52505907414633,5062,11,0,1,1,1,Ita140188,0.0013185414203873,0.0020281642877995,0.2938184869119816,6.837932252007606e-07,0.7758620689655172,U93,5051.0
Jklamo,registered,122.81581453113722,1260554,3267,1,1,1,1,Jklamo,0.0796580885696098,0.0480453927493208,0.377405424046633,0.005140729897355,0.1319559077787252,U94,1257287.0
Amadalvarez,registered,122.3481298193818,386653,874,0,1,1,1,Amadalvarez,0.0254160225516049,0.0169951857092566,0.3485002232605139,0.0009473862589755,0.2345265803630394,U95,385779.0
Alexandronikos,registered,107.49217833205184,47388,1,1,1,1,7,Alexandronikos,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U97,47387.0
JesseW,registered,117.99180034877894,5108,341,0,1,1,1,JesseW,0.0112758024915886,0.009302686280508,0.3276701481604699,0.0002652933553917,0.3752775238343999,U98,4767.0
Bigpeteb,registered,89.27317619268173,25,2,1,0,1,1683,Bigpeteb,4.546694553059925e-05,5.900093397774251e-06,0.2125060632959031,0.0,0.0,U100,23.0
Reinhard Müller,registered,122.73228897391613,3174,18,1,1,1,1,Reinhard Müller,0.0001818677821223,0.0002539003039904,0.258909739986419,0.0,1.0,U101,3156.0
Sextvåetc,registered,31.18289446965601,14404,191,0,1,1,1,Sextvåetc,0.0084113849231608,0.0080333641147096,0.3243968451901459,0.0002946885217334,0.4524676850763807,U102,14213.0
H.-Dirk Schmitt,registered,76.74849472154345,824,2,1,1,1,1,H.-Dirk Schmitt,9.09338910611985e-05,2.392312386112051e-05,0.2337453854519748,0.0,1.0,U103,822.0
Nuretok,registered,87.45508463555035,2533,9,1,1,1,1,Nuretok,0.0001818677821223,4.55889985300078e-05,0.2383342346610364,8.120075242348741e-08,0.3333333333333333,U104,2524.0
HarryNº2,registered,36.16955705988335,296042,494,0,1,1,1,HarryNº2,0.0156406292625261,0.0131448640305106,0.3426625807719927,0.0009004186780501,0.3282764933215811,U105,295548.0
C933103,registered,120.2547820207731,2046,206,0,1,1,1,C933103,0.0069564426661816,0.0078106432184057,0.3289943977765755,3.5735172369940975e-05,0.5161678706570347,U107,1840.0
Sifalot,registered,100.67410198551497,237,10,1,1,1,1,Sifalot,0.0003637355642447,0.0004645488308768,0.278219331306364,3.829120421578268e-08,0.6428571428571429,U108,227.0
Carnby,registered,123.2051700050119,4128,29,1,1,1,1,Carnby,0.0006365372374283,0.000815605523989,0.2798571102233763,1.2451595398273676e-06,0.6043956043956044,U109,4099.0
LiberatorG,registered,67.98249298601462,39571,771,0,1,10,1683,LiberatorG,0.0201418568700554,0.013229308092247,0.3421299293035656,0.0010407719016335,0.2161833651675638,U110,38800.0
Dhx1,registered,119.67706348826084,139098,699,0,1,1,1,Dhx1,0.0239610802946258,0.0150709299443534,0.3402591358166781,0.0007761904516556,0.2137430465869654,U111,138399.0
Kestrelguy,registered,11.127496724018211,1,1,1,1,1,8,Kestrelguy,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U112,0.0
Touriste,registered,1.6090116688075575,121,52,0,0,1,2,Touriste,0.0043648267709375,0.0047733343284934,0.2961687419406072,6.233209394843819e-06,0.6460526315789473,U113,69.0
Captain frakas,registered,91.77625405647542,45,1,0,1,1,1,Captain frakas,0.0001364008365917,0.0002571313363718,0.2588702651611031,0.0,1.0,U114,44.0
Ysangkok,registered,97.38460824733644,1207,44,0,0,1,1,Ysangkok,0.0033645539692643,0.004263877447344,0.2992635430964765,7.91213857539661e-06,0.6915957052943354,U115,1163.0
Alphos,registered,118.18460870365426,95369,127,0,1,1,1,Alphos,0.0038192234245703,0.0044260192960588,0.3128850527582943,4.770564470775172e-05,0.5579460699942628,U116,95242.0
Manutaust,registered,0.0747288901665788,2,1,1,0,1,1,Manutaust,4.546694553059925e-05,0.0001208225466288,0.264769801378435,0.0,0.0,U117,1.0
Ju gatsu mikka,registered,65.00571309928792,15548,233,1,0,1,5,Ju gatsu mikka,0.0140492861689551,0.0124786847102439,0.3236459879115695,2.2717143264506503e-05,0.7945404110452654,U118,15315.0
Tubezlob,registered,109.8581984724,461766,669,0,1,1,0,Tubezlob,0.035737019187051,0.0378123198634056,0.3564862511720625,0.0005192046689695,0.4218051571287337,U119,461097.0
Swpb,registered,116.16824172372542,55069,504,0,1,1,1,Swpb,0.0168682367918523,0.0155683901995496,0.3464481902313463,0.0002804998031787,0.3868288773949151,U120,54565.0
Bob08,registered,124.00481035050534,200512,3,1,1,1,1683,Bob08,9.09338910611985e-05,2.3212460249572035e-06,0.2040176396264173,8.645228003982945e-09,0.0,U121,200509.0
Sinequonen,registered,23.857463800686453,7582,17,0,1,1,1683,Sinequonen,0.0002273347276529,0.0002864482061574,0.2566343844808379,1.3073812154415692e-05,0.6,U122,7565.0
Galaktos,registered,117.60638822152406,15373,210,0,1,10,0,Galaktos,0.0302809857233791,0.0360094045939011,0.3558138973767795,0.0003878931611607,0.5358531463794621,U123,15163.0
Soulkeeper,registered,87.270283137611,189694,831,1,0,1,2,Soulkeeper,0.0310993907429298,0.0297447199285237,0.3523539656125394,0.0004647851677366,0.3916758709854187,U124,188863.0
Jasper Deng,registered,124.02109367216454,10601,2963,0,1,5,2,Jasper Deng,0.0719741747749386,0.0512432635701863,0.3728004646678763,0.0042304374480589,0.1747182652599163,U125,7638.0
Jasper Deng,registered,124.02109367216454,10601,2963,0,1,3,2,Jasper Deng,0.0719741747749386,0.0512432635701863,0.3728004646678763,0.0042304374480589,0.1747182652599163,U125,7638.0
Jasper Deng,registered,124.02109367216454,10601,2963,0,1,12,2,Jasper Deng,0.0719741747749386,0.0512432635701863,0.3728004646678763,0.0042304374480589,0.1747182652599163,U125,7638.0
Albedo,registered,118.91819400048522,7523,11,1,1,1,1,Albedo,0.0010457397472037,0.0005466445103242,0.2668803973161308,3.5379160299543622e-06,0.4426877470355731,U126,7512.0
Bovlb,registered,122.4772434295936,66123,12070,0,1,3,1683,Bovlb,0.1088478676002546,0.0458661036820594,0.3878745386749092,0.0149154656680255,0.0763330529974469,U127,54053.0
Innocent bystander,registered,43.08324530201776,1389962,2134,0,0,1,3,Innocent bystander,0.0632899881785941,0.0516712301892468,0.3713444858487961,0.0027054743028058,0.2328805043919449,U128,1387828.0
RV1971,registered,82.98572371628286,494,25,0,0,1,1,RV1971,0.0004546694553059,0.0006452365315945,0.278219331306364,3.108862967751596e-07,0.6666666666666666,U129,469.0
FabC,registered,120.52388215439818,10388,127,0,1,1,1,FabC,0.0054105665181413,0.0043617687512599,0.3106118443988231,7.859910969572911e-05,0.4039310639510041,U130,10261.0
Ainali,registered,124.0889641052786,118161,835,0,1,1,0,Ainali,0.044466672728926,0.0397013691441511,0.3626758906983787,0.001513091545612,0.3015051710821282,U131,117326.0
Wmestrom,registered,11.465835483731128,3,1,1,1,1,9,Wmestrom,0.0006365372374283,0.0003674053431851,0.2626691039178873,0.0,1.0,U132,2.0
Mxn,registered,123.99459035207202,192392,183,0,1,1,1,Mxn,0.0128671455851595,0.0118718151530335,0.34322662625842,0.0003397402927255,0.4173119815552715,U134,192209.0
Tamawashi,registered,1.950596749648065,519811,297,0,0,1,1,Tamawashi,0.0067745748840592,0.0083012402319149,0.3181788192449689,1.749570998384441e-05,0.6502811536368583,U135,519514.0
Fralambert,registered,120.42004627062842,1028624,2877,0,1,3,1683,Fralambert,0.0839774483950168,0.0536114266734943,0.3783906913109381,0.008607505313988,0.1412791437727192,U136,1025747.0
Voll,registered,109.85320825661488,55855,100,1,1,1,2,Voll,0.0060471037555697,0.0075052443003905,0.3168724435874098,1.0365750345283076e-05,0.631578947368421,U137,55755.0
Fractaler,registered,62.8861209409578,26718,1766,0,0,1,1,Fractaler,0.0203691915977084,0.0167352348029393,0.3487456459529509,0.0005819597609369,0.30076502077341,U138,24952.0
D1gggg,registered,10.098179063681435,51088,1099,0,0,1,0,D1gggg,0.0463308174956806,0.0465309473991738,0.3631523959324299,0.0007082030806482,0.3608973703947203,U139,49989.0
Jefft0,registered,104.85169023928546,1515,61,1,1,1,2,Jefft0,0.0017277439301627,0.0019617255411629,0.285360182810962,1.655887468362529e-06,0.6187766714082503,U140,1454.0
Orijentolog,registered,122.46454334372976,309047,101,0,1,1,1683,Orijentolog,0.0079112485223242,0.007799054116161,0.330035866213389,0.0002990900295501,0.4977077935020929,U141,308946.0
DavidMar86hdf,registered,108.18974342008696,900867,323,1,1,1,9,DavidMar86hdf,0.007820314631263,0.0088708970872384,0.3237341436024451,3.76096318933938e-05,0.6644906840745274,U143,900544.0
Legoktm,registered,123.7965468908404,17156,1727,0,1,1,2,Legoktm,0.0530599254342093,0.0471308208421893,0.3640757118724634,0.0018859340059588,0.2783037240523781,U144,15429.0
MPelletier (WMF),registered,21.61423574748284,6,4,2,0,1,2,MPelletier (WMF),0.0004546694553059,0.000836175288929,0.2688362726549778,0.0,1.0,U145,2.0
Breogan2008,registered,120.24245155235523,81951,3,1,1,1,10,Breogan2008,0.0002273347276529,0.000408454633888,0.2675653222439569,1.5998274503353938e-08,0.8,U147,81948.0
Liuxinyu970226,registered,120.28376390723668,404828,13265,1,1,10,10,Liuxinyu970226,0.1121669546239883,0.0593560285951632,0.3888007986547341,0.0188477961330821,0.0970747360700582,U148,391563.0
AKlapper (WMF),registered,119.19234975545169,18,8,0,1,6,1,AKlapper (WMF),0.0016822769846321,0.0029370049323282,0.3035203946594965,2.512172331501399e-06,0.8573573573573574,U149,10.0
